id,name,parentid,x,y,z,description,shortname,catchment,fgroup,fcst_pp,esp,hefs,snowupdate,spatial_display,gage,gage_fcst,precip,nwm,snotel,snowcourse
Niihau,Niihau,,-160.148,21.906,0,,Niihau,Y,Hawaii,,,,,Y, , ,Y,Y,,
Kauai,Kauai,,-159.54,22.047,0,,Kauai,Y,Hawaii,,,,,Y, , ,Y,Y,,
Lanai,Lanai,,-156.933,20.86,0,,Lanai,Y,Hawaii,,,,,Y, ,,Y,Y,,
Maui,Mauai,,-156.323,20.802,0,,Maui,Y,Hawaii,,,,,Y, ,,Y,Y,,
Oahu,Oahu,,-157.997,21.491,0,,Oahu,Y,Hawaii,,,,,Y, , ,Y,Y,,
Molokai,Molakai,,-157.037,21.152,0,,Molokai,Y,Hawaii,,,,,Y, ,,Y,Y,,
Kahoolawe,Kahoolawe,,-156.605,20.556,0,,Kahoolawe,Y,Hawaii,,,,,Y, ,,Y,Y,,
Hawaii,Hawaii,,-155.503,19.619,0,,Hawaii,,Hawaii,,,,,Y, , ,Y,Y,,
ECHLLWR,NAM-12 POINTS CHLA2LWR,CHLA2,-147.2,64.92,405.4,model data for CHLA2LWR,ECHLLWR,,,,,,,,,,,,,
ECHLUPR,NAM-12 POINTS CHLA2UPR,CHLA2,-147.15,64.95,731.5,model data for CHLA2UPR,ECHLUPR,,,,,,,,,,,,,
ECRULWR,NAM-12 COLVILLE RIVER @ UMIAT blw 1000,CRUA2,-154.11,69.04,250.9,model data for CRUA2LWR,ECRULWR,,,,,,,,,,,,,
ECRUMID,NAM-12 COLVILLE RIVER @ UMIAT 1000-3000,CRUA2,-156.11,68.65,515.1,model data for CRUA2MID,ECRUMID,,,,,,,,,,,,,
ECRUUPR,NAM-12 COLVILLE RIVER @ UMIAT abv 3000,CRUA2,-154.48,68.22,1200.9,model data for CRUA2UPR,ECRUUPR,,,,,,,,,,,,,
EFMKLWR,NAM-12 Walker Fork Taylor Highway Bridge,FMKA2,-141.55,64.033333,762,model data for FMKA2LWR,EFMKLWR,,,,,,,,,,,,,
EFMKUPR,NAM-12 Walker Fork Taylor Highway Bridge,FMKA2,-141.25,64,1005.8,model data for FMKA2UPR,EFMKUPR,,,,,,,,,,,,,
EFMMLWR,NAM-12 MOSQUITO FORK TAYLOR HIGHWAY BRIDGE,FMMA2,-143.15,64.333333,762,model data for FMMA2LWR,EFMMLWR,,,,,,,,,,,,,
EFMMUPR,NAM-12 MOSQUITO FORK TAYLOR HIGHWAY BRIDGE,FMMA2,-142.866667,63.866667,1066.8,model data for FMMA2UPR,EFMMUPR,,,,,,,,,,,,,
EFMRLWR,NAM-12 Fortymile Taylor Highway Bridge,FMRA2,-141.566667,64.366667,762,model data for FMRA2LWR,EFMRLWR,,,,,,,,,,,,,
EFMRUPR,NAM-12 Fortymile Taylor Highway Bridge,FMRA2,-142.45,64.333333,1066.8,model data for FMRA2UPR,EFMRUPR,,,,,,,,,,,,,
EFMWLWR,NAM-12 WEST FORK TAYLOR HIGHWAY BRIDGE,FMWA2,-142.616667,63.633333,762,model data from FMWA2LWR,EFMWLWR,,,,,,,,,,,,,
EFMWUPR,NAM-12 WEST FORK TAYLOR HIGHWAY BRIDGE,FMWA2,-143.333333,63.566667,975.4,model data from FMWA2UPR,EFMWUPR,,,,,,,,,,,,,
EKUPLWR,NAM-12 KUPARUK,KUPA2,-149.75,69.77,152.4,model data for KUPA2LWR,EKUPLWR,,,,,,,,,,,,,
EKUPUPR,NAM-12 KUPARUK,KUPA2,-149.44,68.8,518.2,model data for KUPA2UPR,EKUPUPR,,,,,,,,,,,,,
EMNDLG,NAM-12 POINTS MNDA2LG,MNDA2,-134.35,58.52,853.4,model data for MNDA2LG,EMNDLG,,,,,,,,,,,,,
EMNDNG,NAM-12 POINTS MNDA2NG,MNDA2,-134.55,58.42,426.7,model data for MNDA2NG,EMNDNG,,,,,,,,,,,,,
EMNDUG,NAM-12 POINTS MNDA2UG,MNDA2,-134.35,58.52,1447.8,model data for MNDA2UG,EMNDUG,,,,,,,,,,,,,
EMULLWR,NAM-12 MULCHATNA RIVER blw 3000',MULA2,-154.666667,60.833333,457.2,model data from MULA2LWR,EMULLWR,,,,,,,,,,,,,
EMULUPR,NAM-12 MULCHATNA RIVER abv 3000',MULA2,-153.833333,60.75,1158.2,model data for MULA2UPR,EMULUPR,,,,,,,,,,,,,
ENSHA2LW,NAM-12 blw 1000,NSHA2,-157,59.666667,155.5,model data for NSHA2LWR,ENSHA2LW,,,,,,,,,,,,,
ENSHA2UP,NAM-12 abv 1000,NSHA2,-158,59.833333,396.2,model data for NSHA2UPR,ENSHA2UP,,,,,,,,,,,,,
ENUYLWR,NAM-12 NUYAKUK RIVER blw 2000',NRDA2,-158.5,60,478.5,model data for NRDA2LWR,ENUYLWR,,,,,,,,,,,,,
ENUYUPR,NAM-12 NUYAKUK RIVER abv 2000',NRDA2,-159,60,804.7,model data for NRDA2UPR,ENUYUPR,,,,,,,,,,,,,
ESGRLWR,NAM-12 SGRLWR,SGRA2,-148.566667,68.62,792.5,model data for SGRA2LWR,ESGRLWR,,,,,,,,,,,,,
ESGRUPR,NAM-12 SGRUPR,SGRA2,-148.5,68.503333,1402,model data for SGRA2UPR,ESGRUPR,,,,,,,,,,,,,
ESNOGL,NAM-12 POINTS SNOA2GL,SNOA2,-149,60.5,1097.3,Model data for SNOA2GL,ESNOGL,,,,,,,,,,,,,
ESNOLWR,NAM-12 POINTS SNOA2LWR,SNOA2,-149.35,60.25,304.8,model data for SNOA2LWR,ESNOLWR,,,,,,,,,,,,,
ESNOUPR,NAM-12 POINTS SNOA2UPR,SNOA2,-149,60.4,975.4,model data for SNOA2UPR,ESNOUPR,,,,,,,,,,,,,
ESRMQ9LW,NAM-12 STEWART RIVER,SRMQ9,-137.683333,63.45,762,model data for SRMQ9LWR,ESRMQ9LW,,,,,,,,,,,,,
ESRMQ9UP,NAM-12 STEWART RIVER,SRMQ9,-131.7,63.9,1219.2,model data for SRMQ9UPR,ESRMQ9UP,,,,,,,,,,,,,
EUCHLWR,NAM-12 POINTS UCHA2LWR,UCHA2,-146.2,64.95,478.5,model data for UCHA2LWR,EUCHLWR,,,,,,,,,,,,,
EUCHUPR,NAM-12 POINTS UCHA2UPR,UCHA2,-146.15,64.95,804.7,model data for UCHA2UPR,EUCHUPR,,,,,,,,,,,,,
FID2613,GFS 40 Canada YWRQ9UPR,YWRQ9,-135.353056,59.761111,0,model data for YWRQ9,FID2613,,,,,,,,,,,,,
FID2630,GFS 40 Canada YWRQ9UPR2,YWRQ9,-132.821111,59.631111,0,model data for YWRQ9,FID2630,,,,,,,,,,,,,
FID2642,GFS 40 Canada YWRQ9UPR3,YWRQ9,-130.845,59.368889,0,model data for YWRQ9,FID2642,,,,,,,,,,,,,
FID2844,GFS 40 Canada YWRQ9UPR4,YWRQ9,-136.225,60.825,0,model data for YWRQ9,FID2844,,,,,,,,,,,,,
FID2856,GFS 40 Canada YWRQ9UPR5,YWRQ9,-134.368889,60.876944,0,model data for YWRQ9,FID2856,,,,,,,,,,,,,
FID2867,GFS 40 Canada YWRQ9UPR6,YWRQ9,-132.313056,60.186944,0,model data for YWRQ9,FID2867,,,,,,,,,,,,,
FID2870,GFS 40 Canada YWRQ9UPR7,YWRQ9,-131.385,60.186944,0,model data for YWRQ9,FID2870,,,,,,,,,,,,,
FID3039,GFS 40 Canada YDAQ9LWR,YDAQ9,-141.476944,62.561111,0,model data for YDAQ9,FID3039,,,,,,,,,,,,,
