ID,Name / Nom,Latitude,Longitude,Prov/Terr,Timezone / Fuseau horaire,Bow
05BA001,BOW RIVER AT LAKE LOUISE,51.4286,-116.18894,AB,UTC-07:00,Y
05BA002,PIPESTONE RIVER NEAR LAKE LOUISE,51.43311,-116.17495,AB,UTC-07:00,Y
05BB001,BOW RIVER AT BANFF,51.17223,-115.57177,AB,UTC-07:00,Y
05BC001,SPRAY RIVER AT BANFF,51.16018,-115.55447,AB,UTC-07:00,Y
05BG006,WAIPAROUS CREEK NEAR THE MOUTH,51.28281,-114.83841,AB,UTC-07:00,Y
05BG010,GHOST RIVER ABOVE WAIPAROUS CREEK,51.27003,-114.92553,AB,UTC-07:00,Y
05BH004,BOW RIVER AT CALGARY,51.05027,-114.05146,AB,UTC-07:00,Y
05BH005,BOW RIVER NEAR COCHRANE,51.17374,-114.46643,AB,UTC-07:00,Y
05BH013,JUMPINGPOUND CREEK NEAR COX HILL,51.00233,-114.93814,AB,UTC-07:00,Y
05BH015,JUMPINGPOUND CREEK AT TOWNSHIP ROAD NO. 252,51.12831,-114.5675,AB,UTC-07:00,Y
05BJ001,ELBOW RIVER BELOW GLENMORE DAM,51.01279,-114.0932,AB,UTC-07:00,Y
05BJ004,ELBOW RIVER AT BRAGG CREEK,50.94851,-114.56986,AB,UTC-07:00,Y
05BJ010,ELBOW RIVER AT SARCEE BRIDGE,50.9935,-114.16989,AB,UTC-07:00,Y
05BK001,FISH CREEK NEAR PRIDDIS,50.88547,-114.32684,AB,UTC-07:00,Y
05BL007,STIMSON CREEK NEAR PEKISKO,50.43012,-114.167,AB,UTC-07:00,Y
05BL012,SHEEP RIVER AT OKOTOKS,50.72389,-113.97347,AB,UTC-07:00,Y
05BL013,THREEPOINT CREEK NEAR MILLARVILLE,50.77113,-114.27874,AB,UTC-07:00,Y
05BL014,SHEEP RIVER AT BLACK DIAMOND,50.68855,-114.24491,AB,UTC-07:00,Y
05BL019,HIGHWOOD RIVER AT DIEBEL'S RANCH,50.40506,-114.50072,AB,UTC-07:00,Y
05BL022,CATARACT CREEK NEAR FORESTRY ROAD,50.28526,-114.58871,AB,UTC-07:00,Y
05BL023,PEKISKO CREEK NEAR LONGVIEW,50.47409,-114.2073,AB,UTC-07:00,Y
05BL027,TRAP CREEK NEAR LONGVIEW,50.47732,-114.42632,AB,UTC-07:00,Y
