IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory,Bow
CNPK,PEKISKO,71669,3055119,50.368512,-114.415459,1408.901,MSC,CA,AUTO,Alberta,Y
CPAV,ARDENVILLE,,3030200,49.527511,-113.433914,1126,GovAB,CA,AUTO,Alberta,Y
CPAZ,AZURE,71981,3030450,50.511944,-114.013061,1143,GovAB,CA,AUTO,Alberta,Y
CPBA,BARONS AGCM,71007,3030529,50.025836,-113.224447,967,GovAB,CA,AUTO,Alberta,Y
CPBD,BLACK DIAMOND,71982,3030680,50.706669,-114.151667,1156,GovAB,CA,AUTO,Alberta,Y
CPBE,BEISEKER AGCM,71009,3020610,51.378613,-113.357223,896,GovAB,CA,AUTO,Alberta,Y
CPCI,CALGARY INT'L CS,71393,3031094,51.109309,-114.000258,1082.87,MSC,CA,AUTO,Alberta,Y
CPCK,PINCHER CREEK CLIMATE,71736,3035208,49.522311,-114.004735,3,MSC,CA,AUTO,Alberta,Y
CPFM,FORT MACLEOD AGCM,71789,3032683,49.785833,-113.379447,978,GovAB,CA,AUTO,Alberta,Y
CPKO,KEOMA AGCM,,3033620,51.19056,-113.63056,945,GovAB,CA,AUTO,Alberta,Y
CPLA,LINDEN AGCM,71035,3023850,51.618891,-113.655558,914,GovAB,CA,AUTO,Alberta,Y
CPML,MOSSLEIGH AGCM,71057,3034577,50.672501,-113.348613,965,GovAB,CA,AUTO,Alberta,Y
CPRD,PRIDDIS OBSERVATORY,,3033505,50.869167,-114.291667,1267,GovAB,CA,AUTO,Alberta,Y
CPST,STRATHMORE AGDM,71526,3036205,51.033333,-113.283333,967,GovAB,CA,AUTO,Alberta,Y
CPWB,WIMBORNE AGCM,71904,3027582,51.935836,-113.590834,940,GovAB,CA,AUTO,Alberta,Y
CPXC,BLACKIE AGCM,,3030690,50.545579,-113.640278,1019,GovAB,CA,AUTO,Alberta,Y
CVGE,GOLDEN AIRPORT,71905,1173220,51.300275,-116.984435,787.935,MSC,CA,AUTO,British Columbia,Y
CVXC,CRANBROOK AIRPORT AUTO,71660,1152106,49.61766,-115.789025,930.837,MSC,CA,AUTO,British Columbia,Y
CWAV,SUNDRE A,71248,3026KNQ,51.7781,-114.6825,1115.6,MSC,CA,AUTO,Alberta,Y
CWDU,COP UPPER,71235,3031875,51.0762,-114.2225,1236.2,MSC,CA,AUTO,Alberta,Y
CWGW,SPARWOOD CS,71782,1157631,49.745,-114.8839,1137.9,MSC,CA,AUTO,British Columbia,Y
CWNR,NAKISKA RIDGETOP,71245,305MGFF,50.943897,-115.191013,2449.3,MSC,CA,AUTO,Alberta,Y
CWRT,CROWSNEST,71236,3051R4R,49.627648,-114.481964,2.9,MSC,CA,AUTO,Alberta,Y
CWSW,Sparwood/Elk Valley,,1157635,49.8334,-114.884,1158.2,NAV CANADA,NC-AWOS,AUTO,British Columbia,Y
CWSW,Sparwood/Elk Valley,,1157632,49.8334,-114.884,1158.2,NAV CANADA,NC-HWOS,MAN,British Columbia,Y
CWXA,BOW VALLEY,71232,3050778,51.0831,-115.066,1321.3,MSC,CA,AUTO,Alberta,Y
CWXN,STAVELY AAFC,71555,3036099,50.1833,-113.8833,1363.64,MSC,CA,AUTO,Alberta,Y
CWYL,YOHO PARK,71786,11790J1,51.4429,-116.3445,1603.3,MSC,CA,AUTO,British Columbia,Y
CWZG,BANFF CS,71122,3050519,51.1936,-115.5524,2.1,MSC,CA,AUTO,Alberta,Y
CXCP,CHAMPION AGDM,71217,3031480,50.281945,-113.350278,1006,GovAB,CA,AUTO,Alberta,Y
CYBW,Calgary/Springbank,,3031109,51.1053,-114.371,1200.9,NAV CANADA,NC-AWOS,AUTO,Alberta,Y
CYGE,Golden,,1173214,51.2992,-116.982,785.2,NAV CANADA,NC-AWOS,AUTO,British Columbia,Y
CYGE,Golden,,1173209,51.2992,-116.982,785.2,NAV CANADA,NC-HWOS,MAN,British Columbia,Y
CYXC,Cranbrook/Canadian Rockies Intl,71880,1152105,49.6121,-115.782,940,NAV CANADA,NC-HWOS,MAN,British Columbia,Y
CYYC,Calgary International,71877,3031092,51.1226,-114.013,1099.1,NAV CANADA,NC-HWOS,MAN,Alberta,Y
CZPC,Pincher Creek,71085,3035198,49.5204,-113.997,1189.6,NAV CANADA,NC-AWOS,AUTO,Alberta,Y
