Station ID,State,Network,Station Name,Latitude,Longitude,Elevation,HUC10 (10-digit)
1267,AK,SNOTEL,Alexander Lake,61.75,-150.89,160,Headwaters Alexander Creek (190205051106)
1189,AK,SNOTEL,American Creek ,64.79,-141.23,1050,American Creek (190705050504)
1062,AK,SNOTEL,Anchor River Divide ,59.86,-151.32,1653,Headwaters Anchor River (190203010701)
1070,AK,SNOTEL,Anchorage Hillside ,61.11,-149.67,2080,South Fork Campbell Creek (190204010601)
2065,AK,SNOTEL,Aniak ,61.58,-159.58,80,Aniak Slough-Kuskokwim River (190305020504)
957,AK,SNOTEL,Atigun Pass ,68.13,-149.48,4800,Chandalar Shelf (190802010102)
1182,AK,SNOTEL,Bettles Field ,66.92,-151.53,640,Jack White Creek-Koyukuk River (190901012604)
1260,AK,SNOTEL,Chena Lakes ,64.76,-147.22,500,190803060901 (190803060901)
1093,AK,SNOTEL,Chisana ,62.07,-142.05,3320,Red Hill Creek-Chisana River (190803010305)
958,AK,SNOTEL,Coldfoot ,67.25,-150.18,1040,Slate Creek (190901010604)
959,AK,SNOTEL,Cooper Lake ,60.39,-149.69,1200,Kenai Lake (190203021205)
1302,AK,SNOTEL,Creamers Field ,64.87,-147.74,440,Chena River (190803060907)
1303,AK,SNOTEL,Dahl Creek ,66.95,-156.9,260,Dahl Creek (190503021508)
960,AK,SNOTEL,Eagle Summit ,65.49,-145.41,3650,Porcupine Creek (190804010801)
953,AK,SNOTEL,East Palmer ,61.6,-149.1,230,Outlet Matanuska River (190204020709)
1071,AK,SNOTEL,Esther Island ,60.8,-148.09,50,Esther Lake-Frontal Prince William Sound (190202011605)
1092,AK,SNOTEL,Exit Glacier ,60.19,-149.62,400,Oulet Resurrection River (190202020508)
1268,AK,SNOTEL,Fielding Lake ,63.2,-145.63,3000,Fielding Lake (190803040302)
1285,AK,SNOTEL,Flower Mountain ,59.4,-136.28,2510,Porcupine Creek (190103031206)
961,AK,SNOTEL,Fort Yukon ,66.57,-145.25,430,Seventeen Mile Slough-Yukon River (190705062100)
641,AK,SNOTEL,Frostbite Bottom ,61.75,-149.27,2700,Fishhook Creek-Little Susitna River (190205051202)
429,AK,SNOTEL,Galena AK ,64.7,-156.71,410,Louden Slough-Yukon River (190902051104)
962,AK,SNOTEL,Gobblers Knob ,66.75,-150.67,2030,Outlet Prospect Creek (190901020403)
956,AK,SNOTEL,Grandview ,60.61,-149.06,1100,Headwaters Trail Creek (190203021001)
963,AK,SNOTEL,Granite Crk ,63.94,-145.4,1240,Granite Creek (190803031306)
964,AK,SNOTEL,Grouse Creek Divide ,60.26,-149.34,700,South Fork Snow River (190203020902)
2222,AK,SNOTEL,Gulkana River ,62.41,-145.38,1830,Boulder Lake-Gulkana River (190201020604)
1270,AK,SNOTEL,Heen Latinee ,58.7,-134.86,2065,Davies Creek (190103010401)
1318,AK,SNOTEL,Hoonah ,58.12,-135.41,1550,Port Fredrick-Frontal Icy Strait (190102110906)
2210,AK,SNOTEL,Hozatka Lake ,65.2,-156.63,206,Hozatka Lake (190901091201)
968,AK,SNOTEL,Imnaviat Creek ,68.62,-149.3,3050,Headwaters Toolik River (190604010702)
1091,AK,SNOTEL,Independence Mine ,61.79,-149.28,3550,Fishhook Creek-Little Susitna River (190205051202)
946,AK,SNOTEL,Indian Pass ,61.07,-149.48,2350,Headwaters Ship Creek (190204010402)
1275,AK,SNOTEL,Jack Wade Jct ,64.15,-141.33,3585,Kal Creek (190705022204)
1036,AK,SNOTEL,Johnsons Camp ,64.56,-164.29,25,Pine Creek (190501042003)
1072,AK,SNOTEL,Kantishna ,63.54,-150.99,1550,Moose Creek (190803101805)
1175,AK,SNOTEL,Kelly Station ,67.93,-162.28,310,190504030802-Noatak River (190504030802)
966,AK,SNOTEL,Kenai Moose Pens ,60.73,-150.48,300,Upper Moose River (190203021601)
947,AK,SNOTEL,Little Chena Ridge ,65.12,-146.73,2000,190803060706-Little Chena River (190803060706)
1001,AK,SNOTEL,Long Lake ,58.19,-133.83,850,190102060505-Dawes Glacier (190102060505)
1265,AK,SNOTEL,Lower Kachemak Creek ,59.74,-150.69,1915,Bradley Lake (190203011101)
1096,AK,SNOTEL,May Creek ,61.35,-142.71,1610,Lower Young Creek (190201031603)
785,AK,SNOTEL,McGrath ,62.95,-155.61,340,Town of McGrath-Kuskokwim River (190304050502)
1003,AK,SNOTEL,Mcneil Canyon ,59.74,-151.25,1320,Swift Creek-Frontal Kachemak Bay (190203010806)
1191,AK,SNOTEL,Mcneil River SGS ,59.08,-154.28,140,Mikfik Creek-Frontal Kamishak Bay (190206021207)
1064,AK,SNOTEL,Middle Fork Bradley ,59.78,-150.76,2300,Bradley River (190203011102)
1094,AK,SNOTEL,Monahan Flat ,63.31,-147.65,2710,West Fork Susitna River (190205010304)
949,AK,SNOTEL,Monument Creek ,65.08,-145.87,1850,Monument Creek (190803060402)
1176,AK,SNOTEL,Moore Creek Bridge ,59.59,-135.21,2250,West Creek (190103030203)
1035,AK,SNOTEL,Moraine ,61.38,-149,2100,Eklutna Lake (190204010103)
1103,AK,SNOTEL,Mt. Alyeska ,60.96,-149.09,1540,Glacier Creek (190203020702)
1073,AK,SNOTEL,Mt. Eyak ,60.55,-145.75,1405,Orca Inlet-Frontal Prince William Sound (190202010200)
948,AK,SNOTEL,Mt. Ryan ,65.25,-146.15,2800,Headwaters West Fork Chena River (190803060404)
950,AK,SNOTEL,Munson Ridge ,64.85,-146.21,3100,Rock Creek-Chena River (190803060602)
2081,AK,SNOTEL,Nenana ,64.69,-148.91,415,Little Goldstream Creek (190803090803)
1037,AK,SNOTEL,Nuka Glacier ,59.7,-150.71,1250,Bradley Lake (190203011101)
1315,AK,SNOTEL,Old Independence Mine ,61.79,-149.28,3550,Fishhook Creek-Little Susitna River (190205051202)
1301,AK,SNOTEL,Paradise Hill ,62.83,-141.41,2010,190803010807-Black Hills (190803010807)
986,AK,SNOTEL,Pargon Creek ,64.99,-163.1,100,Slate Creek-Fish River (190501040905)
987,AK,SNOTEL,Port Graham ,59.35,-151.85,300,Port Graham-Frontal Cook Inlet (190203011208)
1177,AK,SNOTEL,Prudhoe Bay ,70.27,-148.57,30,190604010102 (190604010102)
973,AK,SNOTEL,Rocky Point ,64.53,-163.42,250,Golovnin Lagoon-Frontal Golovnin Bay (190501041103)
1183,AK,SNOTEL,Sagwon ,69.42,-148.69,1000,190604010905 (190604010905)
2044,AK,SNOTEL,Spring Creek ,61.66,-149.13,580,Outlet Matanuska River (190204020709)
1095,AK,SNOTEL,Sugarloaf Mtn ,61.08,-146.3,550,Solomon Gulch (190202011101)
955,AK,SNOTEL,Summit Creek ,60.62,-149.53,1400,Headwaters Canyon Creek (190203020401)
967,AK,SNOTEL,Susitna Valley High ,62.13,-150.04,375,Little Montana Creek-Montana Creek (190205050105)
1266,AK,SNOTEL,Telaquana Lake ,60.98,-153.92,1275,Upper Telaquana River (190304052303)
951,AK,SNOTEL,Teuchet Creek ,64.95,-145.52,1640,Teuchet Creek (190803060301)
2080,AK,SNOTEL,Tok ,63.35,-142.98,1630,Tanacross (190803020903)
1089,AK,SNOTEL,Tokositna Valley ,62.63,-150.78,850,Upper Tokositna River (190205020903)
954,AK,SNOTEL,Turnagain Pass ,60.78,-149.18,1880,Granite Creek (190203020406)
952,AK,SNOTEL,Upper Chena ,65.1,-144.93,2850,Headwaters Middle Fork Chena River (190803060102)
1090,AK,SNOTEL,Upper Nome Creek ,65.37,-146.59,2520,Sumner Creek-Nome Creek (190804020304)
1055,AK,SNOTEL,Upper Tsaina River ,61.19,-145.65,1750,Middle Tsina River (190201040203)
