ID,Name / Nom,Latitude,Longitude,Prov/Terr,Timezone / Fuseau horaire,wflow_code
01AD003,ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE,47.20661,-68.95694,NB,UTC-04:00,4000000
01AD004,SAINT JOHN RIVER AT EDMUNDSTON,47.36078,-68.32489,NB,UTC-04:00,4000001
01AF002,SAINT JOHN RIVER AT GRAND FALLS,47.03889,-67.73972,NB,UTC-04:00,4000002
01AF007,GRANDE RIVIERE AT VIOLETTE BRIDGE,47.24697,-67.92128,NB,UTC-04:00,4000003
01AF009,IROQUOIS RIVER AT MOULIN MORNEAULT,47.45783,-68.35683,NB,UTC-04:00,4000004
01AG003,AROOSTOOK RIVER NEAR TINKER,46.81636,-67.75197,NB,UTC-04:00,4000005
01AH002,TOBIQUE RIVER AT RILEY BROOK,47.17303,-67.21081,NB,UTC-04:00,4000006
01AJ003,MEDUXNEKEAG RIVER NEAR BELLEVILLE,46.21622,-67.72794,NB,UTC-04:00,4000007
01AJ004,BIG PRESQUE ISLE STREAM AT TRACEY MILLS,46.43836,-67.73844,NB,UTC-04:00,4000008
01AJ010,BECAGUIMEC STREAM AT COLDSTREAM,46.34089,-67.46511,NB,UTC-04:00,4000009
01AK001,SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY,45.94353,-67.32036,NB,UTC-04:00,4000010
01AK003,SAINT JOHN RIVER AT FREDERICTON,45.96619,-66.65161,NB,UTC-04:00,4000011
01AK006,MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM,46.08281,-66.73303,NB,UTC-04:00,4000012
01AK007,NACKAWIC STREAM NEAR TEMPERANCE VALE,46.04878,-67.23961,NB,UTC-04:00,4000013
01AL002,NASHWAAK RIVER AT DURHAM BRIDGE,46.12592,-66.61131,NB,UTC-04:00,4000014
01AL004,NARROWS MOUNTAIN BROOK NEAR NARROWS MOUNTAIN,46.27717,-67.02139,NB,UTC-04:00,4000015
01AM001,NORTH BRANCH OROMOCTO RIVER AT TRACY,45.67378,-66.68289,NB,UTC-04:00,4000016
01AN002,SALMON RIVER AT CASTAWAY,46.29072,-65.72275,NB,UTC-04:00,4000017
01AO002,SAINT JOHN RIVER AT MAUGERVILLE,45.86647,-66.45317,NB,UTC-04:00,4000018
01AO003,GRAND LAKE AT NEWCASTLE CREEK,46.0564,-66.0057,NB,UTC-04:00,4000019
01AO004,JEMSEG RIVER AT JEMSEG,45.82892,-66.11542,NB,UTC-04:00,4000020
01AO010,FRENCH LAKE AT LAKEVILLE CORNER,45.90883,-66.25644,NB,UTC-04:00,4000021
01AO011,SAINT JOHN RIVER AT UPPER GAGETOWN,45.84725,-66.23486,NB,UTC-04:00,4000022
01AO012,SAINT JOHN RIVER AT GAGETOWN,45.76867,-66.14036,NB,UTC-04:00,4000023
01AP002,CANAAN RIVER AT EAST CANAAN,46.07236,-65.36639,NB,UTC-04:00,4000024
01AP003,SAINT JOHN RIVER AT OAK POINT,45.51942,-66.07661,NB,UTC-04:00,4000025
01AP004,KENNEBECASIS RIVER AT APOHAQUI,45.70139,-65.60169,NB,UTC-04:00,4000026
01AP005,SAINT JOHN RIVER AT SAINT JOHN,45.27339,-66.08889,NB,UTC-04:00,4000027
01AQ001,LEPREAU RIVER AT LEPREAU,45.16978,-66.46828,NB,UTC-04:00,4000028
01AQ002,MAGAGUADAVIC RIVER AT ELMCROFT,45.27333,-66.80667,NB,UTC-04:00,4000029
01AQ007,MAGAGUADAVIC LAKE NEAR UPPER MAGAGUADAVIC,45.71975,-67.18356,NB,UTC-04:00,4000030
01AR006,DENNIS STREAM NEAR ST. STEPHEN,45.20903,-67.26215,NB,UTC-04:00,4000031
01AR009,GRAND LAKE AT FOREST CITY,45.66489,-67.73589,NB,UTC-05:00,4000032
01AR010,SPEDNIC LAKE AT ST. CROIX,45.56922,-67.42725,NB,UTC-04:00,4000033
01AR011,FOREST CITY STREAM BELOW FOREST CITY DAM,45.66417,-67.73356,NB,UTC-05:00,4000034
01AR013,GRAND FALLS FLOWAGE AT GRAND FALLS,45.274323,-67.479636,NB,UTC-05:00,4000035
01BC001,RESTIGOUCHE RIVER BELOW KEDGWICK RIVER,47.66708,-67.48308,NB,UTC-04:00,4000036
01BE001,UPSALQUITCH RIVER AT UPSALQUITCH,47.83247,-66.88708,NB,UTC-04:00,4000037
01BJ003,JACQUET RIVER NEAR DURHAM CENTRE,47.89381,-66.02522,NB,UTC-04:00,4000038
01BJ007,RESTIGOUCHE RIVER ABOVE RAFTING GROUND BROOK,47.90867,-66.94806,NB,UTC-04:00,4000039
01BJ010,MIDDLE RIVER NEAR BATHURST,47.60839,-65.72181,NB,UTC-04:00,4000040
01BJ012,EEL RIVER NEAR DUNDEE,47.98789,-66.49061,NB,UTC-04:00,4000041
01BL002,RIVIERE CARAQUET AT BURNSVILLE,47.70561,-65.15539,NB,UTC-04:00,4000042
01BO001,SOUTHWEST MIRAMICHI RIVER AT BLACKVILLE,46.736,-65.82561,NB,UTC-04:00,4000043
01BP001,LITTLE SOUTHWEST MIRAMICHI RIVER AT LYTTLETON,46.93597,-65.90739,NB,UTC-04:00,4000044
01BP002,CATAMARAN BROOK AT REPAP ROAD BRIDGE,46.85656,-66.19011,NB,UTC-04:00,4000045
01BQ001,NORTHWEST MIRAMICHI RIVER AT TROUT BROOK,47.09475,-65.8365,NB,UTC-04:00,4000046
01BS001,COAL BRANCH RIVER AT BEERSVILLE,46.44394,-65.06494,NB,UTC-04:00,4000047
01BU002,PETITCODIAC RIVER NEAR PETITCODIAC,45.94639,-65.16819,NB,UTC-04:00,4000048
01BU009,HOLMES BROOK SITE NO. 9 NEAR PETITCODIAC,45.88786,-65.14678,NB,UTC-04:00,4000049
01BV004,BLACK RIVER AT GARNET SETTLEMENT,45.30658,-65.84922,NB,UTC-04:00,4000050
01BV006,POINT WOLFE RIVER AT FUNDY NATIONAL PARK,45.55856,-65.01597,NB,UTC-04:00,4000051
01CA003,CARRUTHERS BROOK NEAR ST. ANTHONY,46.74411,-64.187,PE,UTC-04:00,4000052
01CB004,WILMOT RIVER NEAR WILMOT VALLEY,46.39331,-63.65939,PE,UTC-04:00,4000053
01CB018,BARBARA WEIT STREAM AT CAVENDISH FARM,46.4275,-63.68042,PE,UTC-04:00,4000054
01CC002,WINTER RIVER NEAR SUFFOLK,46.33206,-63.06547,PE,UTC-04:00,4000055
01CC005,WEST RIVER AT RIVERDALE,46.23139,-63.35108,PE,UTC-04:00,4000056
01CC010,WINTER RIVER AT UNION,46.31481,-63.12336,PE,UTC-04:00,4000057
01CC011,COLES CREEK AT MILTONVALE PUMPING STATION,46.31025,-63.19489,PE,UTC-04:00,4000058
01CD005,BEAR RIVER AT ST. MARGARETS,46.45314,-62.38233,PE,UTC-04:00,4000059
01DC005,ANNAPOLIS RIVER AT WILMOT,44.94919,-65.02939,NS,UTC-04:00,4000060
01DC007,ANNAPOLIS RIVER AT LAWRENCETOWN,44.88083,-65.15792,NS,UTC-04:00,4000061
01DD002,CORNWALLIS RIVER AT CAMBRIDGE STATION,45.06478,-64.63533,NS,UTC-04:00,4000062
01DD005,NORTH BROOK AT SHEFFIELD MILLS,45.15056,-64.475,NS,UTC-04:00,4000063
01DG003,BEAVERBANK RIVER NEAR KINSAC,44.85111,-63.66389,NS,UTC-04:00,4000064
01DG004,BENNERY LAKE OUTLET NEAR ENFIELD,44.90294,-63.55167,NS,UTC-04:00,4000065
01DG043,ST ANDREWS RIVER AT STEWIACKE,45.12056,-63.34278,NS,UTC-04:00,4000066
01DH002,SALMON RIVER AT MURRAY,45.36917,-63.21544,NS,UTC-04:00,4000067
01DH004,NORTH RIVER AT NORTH RIVER,45.42556,-63.25472,NS,UTC-04:00,4000068
01DH006,MCCLURES BROOK AT COBEQUID TRAIL,45.35883,-63.29589,NS,UTC-04:00,4000069
01DJ005,GREAT VILLAGE RIVER NEAR SCRABBLE HILL,45.43822,-63.598,NS,UTC-04:00,4000070
01DL001,KELLEY RIVER (MILL CREEK) AT EIGHT MILE FORD,45.58681,-64.45069,NS,UTC-04:00,4000071
