IATA,FR name,EN name,Province,AUTO/MAN,Latitude,Longitude,Elevation,# ICAO ID,# WMO ID,# MSC ID,DST Time,STD Time,Data Provider,Data Provider French,Data Attribution Notice,Data Attribution Notice French
AZMP-ESG,Eastern South Gulf,Eastern South Gulf,QC,AUTO,46.8,-62,0,,4400484,DFO_AZMP-ESG,EDT,EST,Department of Fisheries and Ocean Canada,Pêches et Océans Canada,Observational data provided by the Government of Canada: Department of Fisheries and Ocean Canada (DFO). All rights reserved.,
AZMP-HLX,Halifax,Halifax,NS,AUTO,44.267,-63.317,0,,4400487,DFO_AZMP-HLX,ADT,AST,Department of Fisheries and Ocean Canada,Pêches et Océans Canada,Observational data provided by the Government of Canada: Department of Fisheries and Ocean Canada (DFO). All rights reserved.,Données d'observation fournies par le gouvernement du Canada: Pêches et Océans Canada (MPO). Tous droits réservés.
AZMP-STA27,Northwest Atlantic Fisheries Centre Station 27,Northwest Atlantic Fisheries Centre Station 27,NL,AUTO,47.54,-52.588333,0,,4400486,DFO_AZMP-STA27,NDT,NST,Department of Fisheries and Ocean Canada,Pêches et Océans Canada,Observational data provided by the Government of Canada: Department of Fisheries and Ocean Canada (DFO). All rights reserved.,Données d'observation fournies par le gouvernement du Canada: Pêches et Océans Canada (MPO). Tous droits réservés.
IML-10,Old Harry,Old Harry,QC,AUTO,48,-60.5,0,,,DFO_IML-10,EDT,EST,Department of Fisheries and Ocean Canada,Pêches et Océans Canada,Observational data provided by the Government of Canada: Department of Fisheries and Ocean Canada (DFO). All rights reserved.,
IML-14,Banc des Orphelins,Banc des Orphelins,QC,AUTO,48.133333,-62.7,0,,,DFO_IML-14,EDT,EST,Department of Fisheries and Ocean Canada,Pêches et Océans Canada,Observational data provided by the Government of Canada: Department of Fisheries and Ocean Canada (DFO). All rights reserved.,Données d'observation fournies par le gouvernement du Canada: Pêches et Océans Canada (MPO). Tous droits réservés.
IML-7,Gaspe Stream,Gaspe Stream,QC,AUTO,49.241667,-66.2,0,,4400482,DFO_IML-7,EDT,EST,Department of Fisheries and Ocean Canada,Pêches et Océans Canada,Observational data provided by the Government of Canada: Department of Fisheries and Ocean Canada (DFO). All rights reserved.,Données d'observation fournies par le gouvernement du Canada: Pêches et Océans Canada (MPO). Tous droits réservés.
IML-BA,American Bank,American Bank,QC,AUTO,48.583333,-63.883333,0,,4400483,DFO_IML-BA,EDT,EST,Department of Fisheries and Ocean Canada,Pêches et Océans Canada,Observational data provided by the Government of Canada: Department of Fisheries and Ocean Canada (DFO). All rights reserved.,Données d'observation fournies par le gouvernement du Canada: Pêches et Océans Canada (MPO). Tous droits réservés.
NORTH-AJAX,North Ajax,North Ajax,BC,AUTO,49.731667,-124.774833,0,,4600302,DFO_NORTH-AJAX,PDT,PST,Department of Fisheries and Ocean Canada,Pêches et Océans Canada,Observational data provided by the Government of Canada: Department of Fisheries and Ocean Canada (DFO). All rights reserved.,Données d'observation fournies par le gouvernement du Canada: Pêches et Océans Canada (MPO). Tous droits réservés.
PMZA-RIKI,Rimouski,Rimouski,QC,AUTO,48.666667,-68.583333,0,,4400481,DFO_PMZA-RIKI,EDT,EST,Department of Fisheries and Ocean Canada,Pêches et Océans Canada,Observational data provided by the Government of Canada: Department of Fisheries and Ocean Canada (DFO). All rights reserved.,Données d'observation fournies par le gouvernement du Canada: Pêches et Océans Canada (MPO). Tous droits réservés.
PMZA-VAS,Shediac Valley,Shediac Valley,QC,AUTO,47.783333,-64.033333,0,,4400485,DFO_PMZA-VAS,EDT,EST,Department of Fisheries and Ocean Canada,Pêches et Océans Canada,Observational data provided by the Government of Canada: Department of Fisheries and Ocean Canada (DFO). All rights reserved.,
