IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CAAB,ST ALBAN'S,73051,8400416,47.85773,-55.861122,186.874,MSC,CA,AUTO,Newfoundland and Labrador
CAAW,SHEARWATER RCS,71264,8205092,44.629815,-63.513296,23.745,MSC,CA,AUTO,Nova Scotia
CABB,BEDFORD BASIN,71329,8200573,44.706111,-63.633333,5.0,DND,CA,AUTO,Nova Scotia
CABF,BURGEO NL,71152,8400801,47.61296,-57.610138,8.7,MSC,CA,AUTO,Newfoundland and Labrador
CABH,WINTERLAND BRANCH HILL,73080,8404242,47.136501,-55.326322,30.26,MSC,CA,AUTO,Newfoundland and Labrador
CABR,BEDFORD RANGE,71325,8200574,44.745555,-63.660278,10.0,DND,CA,AUTO,Nova Scotia
CACM,CORMACK RCS,71367,8401295,49.321937,-57.39344,167.4,MSC,CA,AUTO,Newfoundland and Labrador
CACP,BACCARO PT,71920,8200255,43.450862,-65.471646,4.825,MSC,CA,AUTO,Nova Scotia
CACQ,MIRAMICHI RCS,71744,8100989,47.0094,-65.465,31.5,MSC,CA,AUTO,New Brunswick
CADL,DANIEL'S HARBOUR,73024,8401405,50.236388,-57.581111,25,MSC,CA,AUTO,Newfoundland and Labrador
CADN,DOAKTOWN AUTO RCS,71038,8101201,46.58525,-66.009833,41.3,MSC,CA,AUTO,New Brunswick
CADS,ST LAWRENCE,71110,8403619,46.9167,-55.3833,50.5,MSC,CA,AUTO,Newfoundland and Labrador
CAEI,ESKASONI FIRST NATION,71175,8201780,45.9206,-60.6469,23.1,MSC,CA,AUTO,Nova Scotia
CAFC,FREDERICTON CDA CS,71668,8101605,45.920357,-66.609116,34.355,MSC,CA,AUTO,New Brunswick
CAFL,CHURCHILL FALLS,73122,8501136,53.558,-64.094,441.0,MSC,CA,AUTO,Newfoundland and Labrador
CAFY,FUNDY PARK (ALMA) CS,71191,8101746,45.597177,-64.953136,42.5,MSC,CA,AUTO,New Brunswick
CAGL,COLLEGEVILLE AUTO,71698,8201001,45.490189,-62.016107,72.268,MSC,CA,AUTO,Nova Scotia
CAHD,HALIFAX DOCKYARD,71328,8202240,44.655277,-63.575833,5.0,DND,CA,AUTO,Nova Scotia
CAHK,HALIFAX KOOTENAY,71326,8202252,44.5875,-63.55,63.5,DND,CA,AUTO,Nova Scotia
CAHR,HARRINGTON CDA CS,71350,830P001,46.34378,-63.16974,53.2,MSC,CA,AUTO,Prince Edward Island
